;; 奻
;a 妍
euj 莌
euk 蔊
euq 葥
eus 蘹
euw 藀
euy 蒍
euz 蒴
eva 萍
evb 蔆
evh 菃
evi 蔋
evj 藻
evk 莎
evl 菹
evm 萿
evn 蒞
evo 蒤
evp 藩
evr 落
evu 蓱
evw 莐
ewa 蒙
ewb 萱
ewj 蔰
ewk 蓂
ewm 菺
ewn 蓿
ewo 蓉
ewr 蒬
ewv 芝
eww 索
exa 蒸
exb 蕭
exf 蘭
exh 蔇
exi 蔬
exj 薜
exk 菡
exr 鳷
exs 蘗
ext 蕄
exu 藎
exv 菛
exw 菷
exy 翅
eye 虇
eyf 蔯
eyo 蔭
eyt 蒻
ezd 菑
ezi 莊
ezl 勩
ezo 蒶
ezr 蔣
ezs 苡
ezt 斟
f;r 覅
fak 梗
fal 柄
fan 榎
far 栵
fav 本
faw 櫌
fax 棲
fay 翉
fbd 桓
fbh 樾
fbr 鵏
fbs 敷
fbu 樹
fbv 杜
fbx 隸
fcc 槥
fci 樍
fcj 檉
fck 橿
fcv 枉
fda 酊
fdb 酵
fdd 酎
fde 醋
fdf 酺
fdg 醃
fdh 醆
fdi 醵
fdj 酲
fdk 醒
fdl 酮
fdn 醜
fdo 酗
fdp 酹
fdq 酘
fdr 酌
fdt 醣
fdu 醚
fdv 酬
fdw 醡
fdx 醱
fdy 配
fdz 酸
fea 樺
fee 楛
feg 楉
feh 櫙
fen 檴
fep 榙
fer 樥
fev 欂
few 桲
ffd 槱
ffg 攀
ffl 楝
ffo 棼
ffp 彬
ffq 梵
ffv 林
ffw 鬱
ffx 楚
fga 椅
fgb 桍
fgg 枙
fgk 橑
fgm 櫪
fgn 榞
fgo 梜
fgq 椓
fgu 橛
fgv 柘
fgx 柭
fgz 槬
fha 椷
fhd 桱
fhj 櫃
fhl 欖
fhm 棧
fhr 柩
fih 樝
fik 椒
fja 樻
fjd 棞
fje 棝
fjh 槶
fjk 剌
fjl 賈
fjn 覈
fjr 賴
fju 粟
fjv 束
fjy 枴
fkd 專
fke 鷣
fkg 軏
fkh 輕
fki 柚
fkj 樓
fkk 軸
fkl 輲
fkn 輗
fko 梢
fkp 暫
fkq 軌
fks 較
fkt 惠
fku 樸
fkv 東
fkx 輮
fky 榻
fla 榿
flb 椆
flf 棗
flj 檛
fll 櫻
fln 欈
flu 棡
flv 相
flz 欏
fma 整
fmb 株
fme 杵
fmf 楸
fmm 橇
fmq 栴
fmr 欑
fms 樦
fmv 梃
fmx 櫛
fmy 槌
fna 楩
fnb 楰
fnc 榭
fng 槔
fno 櫸
fns 檄
fnt 櫆
fnw 櫋
foa 枍
fod 栓
fof 樊
fog 桸
foh 櫼
foj 梲
fok 桼
fos 憖
fov 朳
fox 梒
fpa 梔
fpe 楯
fpf 橎
fpj 檢
fpl 檜
fpq 榆
fpt 惁
fpv 桴
fpz 榽
fqm 梑
frg 桅
frh 柢
frl 桷
frp 格
frs 橪
frx 棦
fsb 麮
fsf 櫬
fsg 麵
fsk 樟
fsl 柿
fsn 橀
fso 校
fsr 麭
fss 麶
fst 怷
fsv 朮
fsx 桹
fsz 梳
ftb 櫥
ftd 栨
ftm 榳
ftx 槦
fua 椪
fuc 樣
fug 檖
ful 橧
fum 檥
fun 檤
fur 橉
fut 檨
fuu 橏
fuw 橯
fuy 梯
fva 霋
fvb 雲
fvd 栦
fve 霸
fvf 霜
fvg 需
fvj 露
fvk 電
fvl 雵
fvm 霉
fvo 樑
fvp 霾
fvq 霢
fvr 桃
fvv 霈
fvw 霥
fvx 雪
fvy 霫
fwa 檳
fwj 槴
fwk 榠
fwl 檸
fwm 榨
fww 枕
fxa 橙
fxb 棣
fxf 欄
fxg 桾
fxh 概
fxj 櫚
fxk 樨
fxm 橘
fxp 杈
fxw 梫
fxy 梮
fyb 梛
fyf 樄
fyg 橢
fyt 栩
fyx 極
fyz 柫
fzd 椔
fzh 機
fzm 椽
fzo 梭
fzp 靉
fzq 擊
fzs 枱
fzv 札
fzx 靆
gai 砢
gak 硬
gbd 砆
gbq 毻
gbs 磝
gbu 礂
gbz 刳
gci 磧
gck 礓
gda 奇
gdb 左
gdc 套
gde 奔
gdh 奩
gdi 存
gdk 奄
gdl 布
gdn 奮
gdo 夾
gdr 奓
gdu 灰
gdv 奫
gdx 友
gdy 夷
gdz 雄
gea 碏
gec 碪
gef 礡
gel 磌
ger 礤
gew 礞
gez 碟
gfo 硹
gfv 礭
gge 厝
ggf 厙
ggh 磭
ggk 厚
ggn 原
ggs 厗
ggv 砳
ggy 厄
ghd 砌
ghm 礛
ghx 礥
gi; 孬
gid 砧
gig 奀
gil 盃
gir 鴀
gjd 面
gje 攲
gji 敧
gjj 磾
gka 碭
gki 磥
gkk 遼
gko 砂
gks 壓
gkw 礑
gla 磑
gle 碘
glg 碳
gll 磪
glp 耏
glq 磞
glt 恧
glu 碙
gmb 硃
gmd 硪
gme 硾
gmh 矺
gmj 礄
gmm 歷
gmr 礸
gmy 矻
gnc 碫
gnk 願
gnr 贗
gns 礉
gom 硢
goy 砏
gpf 磻
gpp 礩
gpz 磎
gqb 豬
gqe 豶
gqg 豲
gqh 戫
gqj 豱
gqo 豵
gqp 豯
gqy 豝
grg 硊
grh 砥
grm 礙
grp 硌
grx 碀
gsg 靨
gsj 碻
gso 碎
gss 飆
gsw 磅
gsx 硠
gsy 礅
gsz 硫
gtx 磄
gua 碰
guc 磋
gum 礒
gur 磷
guw 礯
guz 磁
gvx 磲
gwa 礗
gwc 磍
gwl 碥
gwm 砨
gwo 硿
gwr 碗
gww 確
gxa 磴
gxe 碾
gxj 礔
gxx 磉
gym 砐
gyy 磟
gyz 砩
gzh 磯
gzm 綔
gzz 磣
hbc 臻
hbh 臸
hbk 到
hbr 致
hbs 巰
hci 賾
hcv 匡
hcy 劻
hdb 勁
hdy 切
hdz 頓
heg 匿
hej 慝
hep 椠
hfk 匭
hik 慼
hin 雅
hir 鴉
hji 敺
hjj 區
hjr 觱
hjv 叵
hki 匣
hll 匷
hmg 戎
hmh 戔
hmi 鹽
hmj 或
hmk 划
hov 臥
hpa 匼
hpj 匳
hqb 毉
hqy 翳
hra 鬵
hrr 朁
hry 匢
hsb 式
hsl 貣
hsn 隿
hsq 匟
hsr 鳶
hst 忒
hwl 匾
hxa 豎
hxl 賢
hxm 掔
hxv 巨
hys 袃
iak 叔
ial 叡
ian 蛨
iao 睿
iar 蛚
iau 戲
iax 蜨
ibd 蚖
ibu 蟢
icj 蟶
ico 螓
idk 桌
idl 貞
idr 鳪
idv 蛷
iea 蜡
iee 蠂
ieg 蟒
iek 蟆
iel 蝻
ien 蠖
iew 蠓
iez 蝶
iff 虨
ifj 螵
ifo 蜙
ifv 蚞
igd 蛦
ige 蠣
igg 蚅
igi 蚽
igj 蝒
igl 蝡
ign 顰
igx 蛂
igy 夒
iha 蝛
ihd 蛵
ihe 甝
ihg 劇
ihj 虞
ihk 虛
ihl 皻
ihm 虖
ihn 虪
ihp 彪
ihq 蠮
ihr 處
ihs 虔
iht 虙
iib 歭
iid 蛅
iie 歧
iih 歲
iik 步
ijd 蛔
ijg 鸆
ijh 蟈
iji 敁
ijx 壑
ika 蝪
iki 螺
ikj 螻
ikk 蛐
iko 蛸
ikv 蚎
ikw 螳
ikx 督
ila 蠉
ilb 蜩
ild 蚺
ilg 獻
ilk 蠱
ill 蠷
iln 蠵
ils 齾
ima 蜘
imb 蛈
imd 蛾
imf 蜊
imt 蝌
imu 歑
imv 蜓
imx 蜁
imy 虼
inb 虧
ing 螑
inh 蟘
ink 蝗
inl 螅
inp 蝂
inr 蟌
inx 蛜
iob 齬
ioc 齱
ioe 齰
iog 齮
ioh 齖
ioi 齜
ioj 蛻
iok 齥
iol 齟
ion 齯
ioo 齡
iop 齗
ior 齣
ios 蚙
iou 齸
iox 齦
ioy 蚡
ioz 齝
ipa 蛤
ipf 蟋
ipl 蜦
ipm 蟡
ipq 蝓
ipv 蜉
ipz 螇
irk 歶
irp 蜂
irx 餐
iry 虳
irz 螐
isb 蠩
isj 蜳
isk 蟑
ism 蝣
isp 鹼
isq 蚢
isu 鹺
isv 蟀
isw 蝏
isx 螂
isz 螭
itd 蚪
itg 蠊
itr 蠀
itu 蝷
iua 蛢
iub 蜷
iuf 蝤
ium 蟻
iuw 蠑
ivx 蟝
iwa 蠙
iwb 蝖
iwc 螛
iwg 蜧
iwk 螟
iwl 蝙
iwo 螲
ixb 蝦
ixe 蜛
ixg 蚗
ixk 蠾
ixl 蛹
ixm 蝚
ixs 裻
ixx 蝃
iya 蜢
iyi 凹
iyy 蟤
iyz 蚓
izh 蟣
izj 蠟
izm 蝝
izs 蛑
izz 蚴
jag 呒
jak 哽
jal 遺
jan 嘎
jar 咧
jaw 囔
jax 啑
jay 遣
jaz 號
jbd 咺
jbm 嘟
jbn 哧
jbo 嚇
jbs 嗷
jbv 吐
jbw 噎
jbx 唔
jcc 囁
jci 嘖
jcv 呈
jda 咑
jdb 園
jde 固
jdg 囿
jdh 國
jdl 圜
jdm 囷
jdp 哳
jdr 欭
jdt 恩
jdu 圈
jdx 圍
jdy 囝
jea 哄
jec 嘶
jee 噴
jeg 喏
jel 嗔
jen 嚄
jeq 囈
jer 囌
jet 嚥
jew 哱
jey 嗣
jez 喋
jff 噤
jfk 喳
jfv 呆
jgd 咦
jgg 呃
jgk 喱
jgo 唊
jgu 噘
jha 喊
jhd 吨
jhj 嘔
jia 貴
jib 躂
jic 蹟
jie 踸
jif 蹅
jii 啃
jij 躁
jik 踏
jim 跌
jip 踩
jiq 跺
jir 路
jis 蹄
jiu 蹲
jiv 跳
jiw 蹁
jix 跟
jiy 躍
jiz 躐
jja 呺
jjb 咢
jje 戰
jjf 鄵
jjg 器
jjh 嘓
jjk 單
jjn 丳
jjz 顎
jke 嗶
jki 呷
jkj 嘍
jko 吵
jku 噗
jkw 噹
jla 噮
jll 喘
jlz 囉
jmd 哦
jmf 啾
jmh 吒
jmm 哖
jmy 吃
jnb 嗖
jnd 咐
jng 嗅
jnr 鷕
jns 噭
jnu 噢
jnv 嘷
jnx 喉
jog 唏
jon 吤
joo 嗲
jos 吟
jov 只
jox 唸
joz 嗡
jpa 哈
jpl 嚼
jpq 喻
jpv 哸
jpw 噯
jqv 肙
jrh 呧
jri 喒
jrl 唃
jrp 咚
jrs 哆
jsj 哼
jsk 噫
jsu 嘀
jsv 唁
jsw 啼
jsz 唷
jtz 咇
jul 噌
juw 嘮
