𦆁|𦝠 糸
䐣|⺼ 口 貝
探|扌 㓁 木
𦕰|耳 几 木
𠴩|口 其
𢲨|扌 氵 𠂉 母
劬|勹 口 力
𦀗|糹 赤
𥈜|夫 目 目
簳|𥫗 H倝X 人 干
𡮲|小 言 士 寸
𣚟|木 丶 刀 止 丶 刀 止
膶|⺼ 門 王
𤼞|疒 申 又 艹 亥
𤋵|火 彳 士 寸
𩔞|マ 囗 丷 干 頁
䪼|屮 凵 頁
𢂜|尹 𠂇 巾
𣏂|乂 𣎳 丶
驇|土 八 土 丸 馬
𣱶|氵 卜
䍍|士 冂 一 𠘧 又 缶
拌|扌 半
𠱓|口 𠂊 厂 㔾
凖|冫 隹 十
筝|𥫗 𠂊 ZX爭
胠|⺼ 土 厶
𢑣|彑 癶 一 大
𨶿|門 癶 一 口 䒑
䧦|阝 爲
𥛽|礻 丣 田
𨄦|亻 彳 HX從 足
𡍭|犭 艮 土
𣋬|日 士 乛 工 一 口 寸
饱|饣 勹 巳
𦖩|而 大 耳
𥧒|穴 𠀎 冉
𥦶|𠂊 臼 穴
𩏿|韦 日 V正
䉷|𥫗 口 口 厂 乛 耳 攵
懶|忄 束 𠂊 貝
𣵕|氵 卜 疋
𢫼|扌 虫
𡳔|尸 毛 厶 大 彡
𣂁|广 兆 斗
儀|亻 𦍌 我
疃|田 立 里
鈂|金 冘
𠐎|亻 艹 曰 罒 又
䤐|酉 旡 旡 曰
涓|氵 口 ⺼
訒|言 丶 刀
鎗|金 倉
𧴮|弋 貝
㰞|山 欠
愠|忄 日 皿
𠖣|冖 鹵 土 火
䚥|角 弓 二 弓 二
讧|讠 工
𦛨|⺼ Z荧X 力
𩒳|曰 巛 頁
𦀉|糹 几 木
㶳|聿 火
娲|女 口 内
纵|纟 人 人
鼴|鼠 匸 日 女
𪎷|黃 毛
𤇢|火 白
𧟁|衤 馬 并
𧇹|虍 儿 亻 ュ 矢
𣝾|木 艹 Z春X 禾
𧲸|豸 卜 口
𦁴|糹 𦥑 丨
𥵛|𥫗 曲 辰
𣅀|亠 日
牂|爿 羊
𡛅|女 弓 丨
寇|宀 二 儿 攴
鳉|鱼 丬 爫 寸
𦤶|至 夂
𥙣|礻 勹 日
𩾌|鱼 广 隶
𢥐|忄 鹿 米
橒|木 雨 二 厶
𠻕|口 宀 耳 又
𣬏|北 罒 匕 匕
珗|王 𠂒 儿
遖|辶 十 冂 丷 干
𧐑|虫 小 丿 日 小
𠉢|亻 囗 水
𢛥|尸 田 心
䝤|豸 大 丷 日 小
毧|毛 戈 十
衦|衤 干
𤽇|白 V川
釫|金 一 丂
𨊂|身 黑
䙋|衤 宀 二 曰
𩽩|魚 目 目 隹
㩲|扌 卝 隹 口 口
罴|罒 土 厶 灬
𠏷|亻 宀 必 虫
𪁶|辶 寸 鳥
䓹|艹 食
觻|角 幺 白 幺 木
𦔾|耳 夫
𩎔|韋 爻
𣧁|歹 一 丂
𧻐|走 文 寸
墆|土 帶
鶈|Z妻X 女 鳥
𢄋|𤇾 巾
戍|戈 人
𧳃|豸 虫
𤃬|氵 H倝X 人 赤
𤁞|氵 㒼 水
𨏴|車 耳 耳 耳
𠾔|口 禾 丷 口 儿
炖|火 屯
𡨝|宀 火 夕
弟|丷 弔 丿
耡|耒 且 力
𨦏|金 癶 又
𦪚|舟 丷 酉 寸
梦|木 木 夕
𧑊|虫 日 Z亯X 小
𥅆|目 冉
𣈭|日 禹
眯|目 米
𣗉|木 戶 V宀 口
𠂶|Q烏X 一 丿
䖸|我 虫
蚺|虫 冉
𢨽|戶 乎
𦣋|⺼ 糹 糸 言
漿|爿 V⺼ 寸 水
𤳴|田 田 一 亅 口 一 亅 口
偁|亻 爫 冉
镃|钅 䒑 幺 幺
𪊮|鹿 羽
㣆|弓 爾 玉
緈|糹 土 丷 干
𦛸|月 マ 用
𥤣|穴 了
𠝏|㑒 刂
䡑|車 民
赓|庚 贝
𧺢|走 𠘧 又
𡗘|一 大 丨
囚|囗 人
鯜|魚 立 女
㽟|田 爫 寸
恡|忄 乂 𠂇 厶
𪕣|鼠 一 巛 工
𩗺|風 日 勿
𨁐|𧾷 𠫓 廾
𥄎|目 攴
仪|亻 乂 丶
𦓓|瓦 而
𨹭|阝 不 口
𡡱|女 𤣩 王 人 一 乛
嵳|山 V羊 工
𩹵|N齊X 魚
𣱿|氵 入
𢗸|忄 斗
曺|𤰔 曰
𤊁|氵 卜 口 灬
𧊪|一 ZX方 一 ZX方 虫
㖅|口 丿 戈 一
鬆|镸 彡 木 八 厶
𤮄|瓦 鬲
𤨲|𤣩 山 宀 示
𣥖|止 止
𤀌|氵 三 田 田
撏|扌 彐 工 口 寸
𤾬|白 艹 冂 一 豕
𥬢|𥫗 𠂇 工
𠤒|人 卜 一 匕
𢶕|扌 䒑 月 刂 灬
𧓫|宀 必 虫 虫
𧛆|衤 水 日
𧱘|豙 人 丿 丨
垙|土 光
𦠕|Z齊X 口 肉
砜|石 风
𡲟|P𡳐X 舟
蚣|虫 八 厶
𢄢|土 八 土 丸 巾
𨦇|金 夫 丷
侩|亻 人 二 厶
𩏝|韋 婁
𨧃|金 木 口
𡀬|口 石 亠 人 人 十
㒯|光 艹 ZX華
騰|V𣎌 馬
䌶|纟 才
枹|木 勹 巳
𣕞|木 𦍌 女
𠠼|文 力
𤎴|止 舟 刀 灬
囃|口 亠 人 人 朩 隹
筆|𥫗 聿
𡿉|艹 田 田 田 山
𩲶|矢 鬼
臍|⺼ 齊
𢁌|巳 巳 干 干 丌
𣠹|木 𥫗 目 廾 糸
仓|人 㔾
𩖏|頁 頁 頁
𡍖|土 彑 氺
㟙|山 卄 一 日
𨿥|勹 米 隹
镚|钅 山 月 月
𩹍|魚 癶 一 大
𧔻|匕 匕 虫 虫 虫
䉠|𥫗 彳 HX微
曣|日 廿 北 口 灬
𠭦|八 𦥑 丨 又
赪|赤 卜 贝
凭|亻 一 士 几
穰|禾 亠 口 口 𠀎 𧘇
𡻳|山 Z亯X 子 阝
胷|勹 凵 乂 ⺼
𢍶|糹 糸 言 廾
𩅮|雨 夫 夫 曰
𩂾|雨 田 丂
䧽|釆 隹
𣣫|丷 酉 欠
猁|犭 禾 刂
𡊀|土 大 丶
𣞺|木 日 共 氺
钄|金 艹 門 束 丷
㠇|山 Z亯X 小 尢 丶
嶊|山 扌 隹
欑|木 𠂒 儿 𠂒 儿 貝
𠪐|厂 V卯 田
貔|豸 丿 囗 乂 匕 匕
𤩅|王 卜 冂 一 谷
娛|女 口 V夨
疚|疒 久
𦯄|艹 丣
𠌡|亻 辶 䒑 一 大
蔥|艹 囪 心
𪒤|黑 襾 日 十
𥁰|囗 儿 冂 皿
𧈫|工 虫
涪|氵 立 口
𣡽|木 木 木 木 木 木 木 木
鞮|革 日 V正
㬱|𠂒 儿 𠂒 儿 曰
𦛹|V扌 戈 肉
岴|山 丘
𥳞|𥫗 米 舛
𧟵|襾 月 卩 又
樻|木 中 一 貝
𠖺|冫 卜 一 卜
达|辶 大
啅|口 卜 日 十
瓄|王 士 罒 貝
𥹍|米 宀 一 亅
𠉋|亻 艹 亠 𠃊
㷊|木 木 灬
𧞣|衤 厂 日 ⺼ 犬
葏|艹 氵 聿
𧿌|𧾷 乇
䵕|黍 尸 十 口
泔|氵 甘
𨠒|厶 大 酉
雘|丹 卝 隹 又
㩛|扌 囗 𤰔 厶 寸
忞|文 心
𨽺|免 隶
敥|火 火 攴
𠓤|入 一 日
軨|車 人 一 マ
呯|口 平
矮|矢 禾 女
𥼝|米 人 亠 凵 乂 禸
𣳴|氵 V𦈢
蝹|虫 日 皿
𥉕|目 冂 一 豕
䱿|魚 車 斤
濾|氵 虍 田 心
𥤁|禾 Z亯X 日 羊
𡨆|宀 夕 夕 一
㺉|士 冂 一 𠘧 又 犬
弈|亦 廾
掋|扌 广 氏 一
鰊|魚 束 丷
𪂍|一 廾 一 廾 鳥
𩰃|镸 彡 𠂊 口 匕 匕 免 丶
𨽪|丿 㠯 十 䒑 八 皿 丿 㠯 十
𨧘|金 半 刂
眘|大 丷 目
𡮛|小 氵 日 土
墝|土 土 土 土 一 儿
鶟|穴 犬 鳥
𢨦|戶 十
漨|氵 辶 夂 丰
𣎫|月 囗 𤰔 厶 寸
炭|山 厂 火
鄬|爲 阝
𥔉|石 宀 火 又
𠜸|厶 厶 厶 二 刂
䐺|⺼ 襾 日 十
梽|木 士 心
褼|衤 襾 大 㔾
鋁|金 口 丿 口
𧞊|衤 角 刀 牛
𩷠|魚 扌 亠 几
㽈|匕 矢 マ 疋 瓦
籊|𥫗 羽 隹
𣥣|止 皮
䗏|虫 宀 火 又
諑|言 豖
𡑚|士 冖 示 又 土
㣝|彳 戈 十
奜|非 大
緟|糹 重
鹞|V⺼ 缶 鸟
𪋡|鹿 业 䒑 夫
煬|火 日 一 勿
嫱|女 啬
𩿳|一 止 鳥
𦎒|身 羊
楼|木 米 女
𠷿|口 乍 心
鎀|金 亻 丨 攵 彡
㜃|女 亻 言
琅|王 丶 艮
䍀|纟 Z监X 皿
𩟩|飠 宀 大 丷 日 小
𠆌|Z亯X 日 八 白
䚎|Z春X 臼 目 儿
讐|隹 隹 言
𢼓|甲 攵
氕|气 丿
𤭯|瓦 白 水
儗|亻 匕 矢 マ 疋
阙|门 䒑 屮 欠
𦣮|子 瓜 臣
𤪚|𤣩 十 戈 隹
㦜|忄 卝 隹 又
纞|糹 糹 糸 言 心
𪎠|麻 夕 夕
𥾚|糹 㓁
𠐥|亻 立 中 口 心
䤧|金 囗 口
踩|𧾷 爫 木
𨩆|金 丿 戈 一 女
𡚮|久 女
宰|宀 辛
颲|風 歹 刂
㰵|亠 人 人 十 欠
愷|忄 山 一 口 䒑
𤽈|白 火
𪘹|齒 曰 勹 𠃊 人
𠺾|口 王 丿 未
珀|王 白
𠱊|口 亻 士
𥽷|米 𠂒 儿 𠂒 儿 貝
幉|巾 世 木
荋|艹 而
𧳶|豸 𦥑 丨 又
𩍩|革 亻 业 䒑 夫
𢛎|忄 㡀
毐|士 毋
𤮢|广 Z無X 灬 瓦
𨶂|門 䒑 八 皿
㗏|口 不 一 止
𣅗|日 已
癙|疒 鼠
𩷰|魚 辶 卂
𨺤|阝 一 口 田
𠏠|亻 𧾷 土 土
䃢|石 金 欠
𧌔|木 支 虫
藤|艹 V𣎌 氺
𢥧|厂 白 小 頁 心
㜬|女 𠂊 厂 八 言
湩|氵 重
卫|卩 一
遭|辶 Z曹X 曰
𣟼|厶 口 木 隹 灬
㯰|木 罒 十 Z具X
磲|石 氵 工 コ 木
𥍿|矛 𠂆 十 目
𠙹|凵 V扌
𧳕|豸 未 丷
䭻|馬 八 刀
衽|衤 一 士
𦍠|羊 厂 力
𤞪|犭 口 丿 口
𥈄|共 巳 目
纇|米 頁 糸
𩬭|镸 彡 丿 夫
𡬊|V㝱 丿 大
𢞍|𦣞 巳 心
𦪃|舟 冂 一 豕
脎|⺼ 乂 木
𥘦|礻 攵
𥷗|𥫗 木 示 隶
䨔|雨 光
𡚗|大 田 田 田
𥸪|米 人
鲛|鱼 亠 父
𣌚|日 一 言 日 Z亯X 小
𨯛|金 艹 阝 人 一 乛 二 厶
𨁙|𧾷 免
䖡|虫 丑
𦑚|羽 𠂊 厂 矢
戤|乃 又 皿 戈
𠺧|口 亻 丨 攵 木
𥐳|石 五
儮|亻 厂 禾 禾 止
綱|糹 冂 䒑 山
𧳤|豸 亻 夕 夕
𨽗|阝 止 𣥂 頁
𢚷|忄 車
耸|人 人 耳
𧪪|言 央 皿
䤾|金 爫 臼
𡗁|夕 夕 亻 ュ 矢
鏅|金 亻 丨 攵 ⺼
𣉄|丰 日 V正
䓋|艹 氵 氏
慎|忄 十 Z具X 八
𠷑|口 癶 𠘧 又
试|讠 弋 工
𢩔|戶 亞
偘|亻 口 口 口
糛|米 ⺌ 冂 口 土
𥇛|大 目 目
𡥞|爫 冖 子
𢗡|忄 攵
蝢|虫 頁
𪏥|艹 ZX華 黃
𣝵|木 糹 彑 氺
𥘐|匚 一 示
䡨|V羊 工 車
𧊓|虫 舟
鋯|金 𠂒 口
𦊼|罒 口 丿 口
𩔒|H㕟X 又
寵|宀 龍
恸|忄 二 厶 力
𥤇|禾 𥫗 厶 厶 厶 人 彡
諿|言 口 耳
𢥾|忄 彑 𧰨 虫 虫
𥞂|禾 亻 寸
𩬱|镸 彡 兆
𨲗|十 一 口 䒑 長
礉|石 白 方 攵
𡢈|氵 日 一 勿 女
蚌|虫 丰
侒|亻 宀 女
𦨘|舟 一 丌
𣂘|𥘅 斤
鼝|氵 𣶒 鼓
𥻄|米 匕 匕 白
䀣|目 必
枢|木 匸 乂
𨭰|金 耳 口 丿 土
𠤩|罒 厶 ⺼ 匕 匕 匕
𤖝|爿 𠂊 厂 八 言
𩇆|雨 田 亠 囗 口 禾
嚬|口 止 𣥂 頁
砳|石 石
𡾲|山 艹 丿 㠯 辛
薶|艹 豸 里
𢄹|巾 丿 大 口 冂 口
亼|人 一
𧯎|谷 門 月
𡁃|口 宀 毌 貝
㟂|山 母
𧇷|曰 勹 𠃊 人 虍 儿
鹇|门 木 鸟
𨁈|𧾷 更
䝍|豕 冖 車
曌|日 月 穴 工
𤫌|王 V𢍱 車
𣛹|木 辶 山 而
𠡓|宀 女 力
𢿒|毌 貝 攴
嗖|口 𦥑 丨 又
𨷎|大 夕 夕 門 王
罝|罒 且
𡻜|山 穴 至
蓠|艹 亠 凵 乂 禸
𢁣|巾 亠 𠃊
𥑺|石 䒑 屮
𩒧|彡 頁 巾
𤷦|疒 Z亯X 小
𣜦|辶 首 木
㛬|女 土 八 土
鵱|土 八 土 鳥
𦀐|糹 广 土
𧷿|貝 耂 日 阝
䙷|目 儿 寸
时|日 寸
𦝕|厶 ⺼ 口 口
𢻼|冘 攴
𤛔|牜 曰 罒 又
㒁|亻 囗 土 丷 干
唀|口 禾 乃
熃|矛 攵 力 火
阂|门 亥
𩩗|骨 人 舌
𨌇|車 豕
𥽗|米 幺 白 幺 木
𧧖|言 臼
𤜃|牜 Z亯X 日 羊
𥲑|𥫗 曰 罒 又
𨰬|金 𡨄 馬
𢲑|扌 𥫗 丿 大
䴐|宀 王 缶 貝 鳥
榓|木 必 皿
踒|𧾷 禾 女
鞗|亻 丨 攵 革
𣠞|耳 耳 耳 木
攠|扌 麻 非
𠆣|一 人
𪘢|齒 氏 口
䊥|米 肅
辧|辛 辛 刀
𠘰|几 㐅
𡴰|山 𢎘
㦳|十 戈 土
帲|巾 幷
窵|穴 鳥
鬴|鬲 甫
𧗞|彳 一 一 亅 亻
𥌋|目 Z夢X 夕
𨀴|𧾷 勹 日
𤫱|勹 口 瓜
療|疒 大 丷 日 小
忇|忄 力
飉|風 大 丷 日 小
𧆌|⺾ 齊 韭
湒|氵 口 耳
𠫕|乙 厶
矗|十 Z具X 十 Z具X 十 Z具X
鑖|金 艹 罒 戈 人
𤽥|白 夂 口
𣚎|木 厶 厶 厶 糸
𣚻|甘 木 免
𩨑|骨 一 亅
𥤺|穴 手
䍤|罒 齊
濧|氵 业 丷 干 一 寸
豦|虍 豕
𧖽|日 月 丿 皿
闫|门 三
𩐼|音 宀 亻 一 白
㹲|犭 耂 子
筴|𥫗 大 人 人
𪑶|黑 矛 木
䃹|石 門 束 丷
𡰕|八 儿 立 里
跻|𧾷 齐
𧶔|貝 口 王
𩆨|雨 金 夂 丰
岆|山 丿 大
馈|饣 中 一 贝
𢔋|彳 木 八 厶
昍|日 日
𥥡|穴 共
𪌏|麥 攴
𦵂|艹 木 𠂎 卩
𧹯|赤 束 丷
璖|王 氵 工 コ 木
𥷮|𥫗 爫 罒 V皀 寸
嬟|女 𦍌 我
萡|艹 氵 白
𨒚|辶 目
𢎤|弓 又
𦩶|舟 爫 幺 大
沦|氵 人 匕
𦠝|⺼ 丣 田
㘭|土 幺 𠃌
猯|犭 山 而
𤦜|𤣩 人 舌
𨏉|𥫗 目 廾 車
𠒶|土 八 土 八 土 八
䆸|穴 癶 一 口 䒑
𧉊|父 虫
芺|艹 丿 大
欿|𠂊 臼 欠
呁|口 勹 二
酃|雨 口 口 口 阝
𦅊|糹 人 人 人 人 日
𦩷|舟 𠀎 冉
㳆|氵 斗
秈|禾 山
𩃐|雨 亻 氏 一
𤧶|𤣩 一 自 夊
𠍏|亻 束 攵
䱑|魚 扌 斤
襓|衤 土 土 土 一 儿
𩂢|雨 乑
𨳸|門 田
𡇘|囗 夕 夕
勚|世 贝 力
𩿜|十 廾 鳥
㭟|共 木
摡|扌 V皀 旡
𧒭|虫 辶 中 一 贝
𠧨|夂 口 卜
䫪|大 爻 爻 頁
𤋂|卝 罒 火
𡱱|P𡳐X 丿 大
𥥳|穴 舟
𧕒|弗 虫 虫 虫
驵|马 且
𦙿|⺼ 口 儿
𢇸|广 世
𧍋|虫 日 一 寸
拺|扌 朿
𨌫|車 V𢍏 㔾
𧹔|贝 長
𩲪|鬼 𠂉 小
𣆅|日 丿 之
𦳗|艹 小 丿 目
鼆|冖 日 亠 八 黽
𨽖|阝 衣 馬
䐌|典 ⺼
悏|忄 大 人 人
𪆬|鳥 𧾷 夂 口
𠴒|口 亻 人 一 マ
𢦕|戈 丿 几
厙|厂 車
𦚮|亻 一 士 肉
簜|𥫗 氵 日 一 勿
𡢟|女 木 木 疋
芣|艹 不
𢔢|彳 人 一 月 刂
䮩|馬 骨
𩄮|雨 辶 艮
鸰|人 一 マ 鸟
𥁦|弋 工 皿
𩸎|魚 宀 V正
𦃟|爫 糹 糸
䜶|一 口 䒑 夂 㐄
掹|扌 子 皿
𨍞|車 艹 央
𠰼|口 亠 巾
𢢿|士 冂 一 𠘧 又 子 心
勃|孛 力
罆|缶 毌 貝
𡯉|尢 又
𨪍|金 氵 小 丿 女
𧊶|虫 几 木
藍|艹 臣 人 丶 皿
𢑌|弓 𦍌 灬 𦍌 大 弓
䫓|立 口 頁
𡝖|女 丶 刀 心
𣏙|木 气
𣧥|歹 幺 力
𧉚|虫 勿
酚|酉 八 刀
𩬻|镸 彡 几 木
䙠|衤 厂 䒑 屮 欠
拣|扌 V柬
𨀃|𧾷 又 土
𠽦|口 氵 丿 戈 一 口
𢯩|扌 貝 刂
𥠽|禾 至 夊
襪|衤 艹 罒 戈 人
嗭|十 Z具X 口 七
𤖓|爿 Z青X 貝
繰|糹 口 口 口 木
𡫳|宀 工 工 工 工 𠂇 十
蓷|艹 扌 隹
𢝶|忄 而 女
𨚕|厶 廾 阝
𧺾|走 半
𤷽|疒 谷 卩
𨻫|阝 立 ZX竜
省|小 丿 目
𡚀|Z囊X 一 水 大
還|辶 罒 一 口 𧘇
𣰇|毛 矛 冂 八 口
妊|女 一 士
漑|氵 白 匕 旡
𠺐|口 口 目 儿
袔|衤 一 亅 口
𩘶|風 方 人 疋
帛|白 巾
熚|火 畢
𨗄|辶 火 火 火
𢚠|宀 木 心
𩸚|魚 艹 毛
脥|⺼ 大 人 人
𪂤|人 一 口 卩 鳥
𦌗|罒 火 火 欠
瘫|疒 又 隹
榪|木 馬
𨋳|車 囗 大
鎮|金 十 Z具X 八
㼱|北 㓁 瓦
墴|土 黃
渻|氵 小 丿 目
𠆺|亻 幺 丨
设|讠 𠘧 又
𨝳|止 匕 貝 阝
充|𠫓 儿
烄|火 亠 父
𤤠|𤣩 央
𠙋|丿 㠯 几
㧊|扌 巿
聏|耳 而
𪏎|V用 口 黃
𥯹|𥫗 工 几 丶 廾
𨨢|金 火 欠
䥕|金 㡀 攵
棔|木 氏 日
鋘|金 口 V夨
㹛|牜 止 頁 巳 夊
𥞎|禾 𠂇 巾
𩛻|V尾 食
寞|宀 艹 日 大
㩑|扌 一 大 非
𨍩|車 亠 丷 冖
𣥺|⺌ 冂 口 止
慥|忄 辶 𠂒 口
𠃤|H印X V川
諨|言 一 口 田
偯|亻 衣 口
珮|𤣩 HX佩
𨌑|車 辰
𡥵|子 日 匕 匕
𣣴|罒 氺 欠
荹|艹 止 𣥂
𪋸|鹿 山 隹 冂 八 口
䡿|車 雨 口 口 口 工 人 人
毾|冂 二 羽 毛
𣱆|一 尸 氏
𨘪|辶 夫 夫 車
㪉|人 一 口 攵
嬈|女 土 土 土 一 儿
枋|木 方
頊|王 頁
𩾯|氵 鳥
㘖|口 文 厂 彡 頁
猘|犭 制
岝|山 乍
馟|禾 日 爫 子
𥋾|目 艹 重
𥾻|亠 八 糸
𣴎|𦍌 水
𧂡|艹 門 月 心
𢸦|扌 辶 中 一 貝
欨|勹 口 欠
㞫|山 之
璭|王 辶 冖 車
锬|钅 火 火
𤵟|疒 屮 又
𩐨|音 夂 㐄
𠌸|亻 尸 幷
䀺|亻 丨 攵 目
沽|氵 十 口
贼|贝 戈 十
雁|厂 亻 隹
𤖏|爿 疒 矢
𨫒|金 尸 雨
𧏠|虫 又 又 又 木
㭈|木 夬
硊|石 𠂊 厂 㔾
𠓍|免 曲 一 口 䒑
𪕌|鼠 人 一 マ
䇏|立 Z亯X 子
軑|車 大
𥻩|米 冖 日 亠 八
𩑥|氏 頁
㳝|氵 亻 一 士
嵜|山 亠 丷 一 亅 口
租|禾 且
驞|馬 宀 一 𣥂 貝
𦸺|艹 止 匕 朿
𥥧|穴 老
𩚐|飠 丸
𤊽|大 丷 日 火
𦿄|艹 申 日 一 勿
𠡪|勹 田 力
畬|入 一 朩 田
𡇯|囗 束
廱|广 巛 邑 隹
鯳|魚 广 氏 一
𩠋|饣 疋 ⺼
𧿨|𧾷 厂 又
𧄕|艹 糹 音 戈
浼|氵 免
鞀|革 刀 口
𣳪|氵 吏
瀅|氵 𤇾 玉
𤰗|𠂉 田
𥬲|𥫗 几 木
𠖌|冖 衤 寸
䊎|米 V𢍏 㔾
辐|车 一 口 田
𢬓|扌 舛
𥩂|穴 襾 米 攵
栕|木 臣
唗|口 走
鈙|金 攴
𣻅|士 口 氵 小 丿
𨛮|尸 十 口 阝
𩶖|魚 目
𣶜|氵 亻 口 巛
窞|穴 𠂊 臼
𠀥|二 丨 日
䴧|鹿 禾 女
訩|言 凵 乂
𩷯|氵 丿 大 魚
徰|彳 一 止 一 止
鲲|鱼 日 匕 匕
㠵|亠 𠃊 巾
攷|丂 攵
𪈹|一 内 一 内 鹿 鳥
𦎞|羊 爫 子 乚
矀|目 彳 HX微
𥙊|癶 示
𡵇|山 子
婉|女 宀 夕 㔾
蝋|虫 ッ 几 V扌
𩋶|革 木 𠂎 卩
𤗃|片 甫
𩈬|面 宀 㠯
𨭌|金 十 一 口 䒑 彡
濐|氵 日 耂 日
𦿏|艹 Z夢X 夕
㕗|𦍌 久 厶
𥟸|巛 冂 一 刂 禾
𨊐|身 辶 冎 口
𦓶|耒 辰
𥘭|礻 丶 王
𣭻|𧾷 毛
𦃉|糹 丿 大 䒑 屮
𠟠|雋 刂
䓢|艹 囗 十 口
臤|臣 又
𢵧|扌 門 日
橩|木 𤇾 卂
坫|土 卜 口
鑭|金 門 束 丷
㿰|亠 父 皮
糲|米 厂 艹 禺
𠉹|亻 承
佻|亻 兆
𩻾|魚 門 日
豽|豸 內
帄|巾 一 亅
犇|牛 牜 牛
𡜊|女 缶
𢮍|扌 穴 弓
贎|貝 艹 禺
𩳙|乂 𣎳 丶 鬼
䘔|丿 皿 宀 夂 口
𤎅|士 方 攵 火
邛|工 阝
㼚|亠 几 瓦
䦡|門 宀 㠯
渤|氵 孛 力
𠊧|亻 䒑 业
𤚰|牜 亠 丷 冖
𢜪|忄 艹 𠂇 口
崮|山 囗 十 口
熱|土 八 土 丸 灬
𨖲|丿 廾 辶 車
𡘴|大 㡀
𢪷|扌 目
谸|丿 十 谷
𪂻|人 一 口 廾 鳥
𨁖|𧾷 谷
䔾|艹 扌 曰 勹 𠃊 人
𡧁|宀 马
𨣡|丷 酉 宀 亻 一 白
𦬊|艹 巳
𩿅|𠂇 厶 鳥
㹄|牜 田 儿 夊
𥞍|禾 一 亅 口
䣋|爫 木 阝
济|氵 齐
𠇑|亻 父
𤭺|罒 一 止 瓦
蟕|虫 止 匕 角
𢙔|忄 礻 乚
𥪸|立 𥫗 士 寸
屘|尸 毛 子
烛|火 虫
𡕞|丸 夊
譢|言 辶 㒸
𤏧|火 𥫗 人 一 口
𧾪|走 龍
䑨|舟 𠂉 也
𡣫|女 黑 土
𤿒|皮 內
𩢓|馬 丱
黯|黑 音
𣵮|氵 丰 阝
𧼒|走 臣 又
埵|土 垂
𧀿|艹 丷 酉 大 阝
汸|氵 方
𠃻|二 欠 二 一 乙
蛿|虫 人 一 乛 口
𢕾|彳 尸 口 辛
𦃙|日 共 糸
𤽁|白 十
宂|宀 儿
𦚗|⺼ 匚 巾
𦻀|艹 彳 日 V正
甉|兼 瓦
𡒈|土 V尾 屮 凵
誌|言 士 心
𪐓|黍 束 束
䎒|羽 戈 戈
𦠸|⺼ 衣 夕 夕
𨀘|𧾷 羊
㲘|貝 毛
𤞩|犭 且 力
𩱮|弓 弓 鬲 氵 工 コ 木
錝|金 宀 示
䰣|鬼 网
殢|歹 帶
𢒨|十 日 十 彡
媬|女 亻 口 木
琳|王 木 木
𡎲|高 土
𦪟|舟 十 一 口 䒑 彡
覶|𤔔 目 儿
𢴹|扌 𠂹 土
𪌽|麥 日 匕 匕
䊼|糹 止
𥝴|禾 冘
𣖡|木 貝 刂
㯂|木 帶
鉇|金 𠂉 也
𦔠|耒 艹 卑
䭍|飠 Z青X 皿
櫌|木 V頁 心 夊
𠑓|亻 爾 心
姖|女 工 コ
𣯎|囗 人 皿 毛
獝|犭 矛 冂 八 口
裠|尹 口 衣
𢱣|扌 脊
𧺧|走 廿
𪉧|鹵 火 火
䇦|𥫗 央
𡭭|小 吏
𩉓|面 臾 貝
酱|丬 夕 酉
𣦩|止 十 一 口 䒑 皮
䩷|革 亠 丷 冖
槶|木 囗 戈 口 一
𨑾|辶 水
𠍽|亻 大 耂 日
𢋼|广 虍 一 口 䒑 戈
㢁|广 夕 夕
𥤀|禾 厂 禾 禾 止
綃|糹 ⺌ ⺼
騂|馬 辛
𠰎|口 尸 又
𢂑|巾 弋 工
𤄐|氵 雨 V卯 田
斓|文 门 束 丷
舒|人 舌 マ 𠄐
𪚕|人 一 乛 龍
𤊯|⺼ 屯 灬
鮗|魚 夂 ⺀
㐞|其 乙
椠|车 斤 木
𠶣|口 木 攵
𤧚|王 勹 Q匆X 心
𤺥|疒 𥫗 人 一 口
𩌇|革 冂 二 羽
莧|艹 目 儿
𣢠|必 欠
𨓜|辶 免
𡄰|𦍌 䒑 口 亠 人 人 十
𣖳|木 虍 攵
刲|土 土 刂
皵|卄 一 日 皮
霴|雨 二 厶 隶
𨮵|金 艹 冂 一 豕
𦨴|舟 冂 一 口
㥀|忄 十 Z具X
𪃜|宀 工 口 鳥
穂|禾 𤰔 心
𡻅|山 Q鳥X 山
𥚷|礻 田 ⺼
叇|二 厶 辶 隶
铉|钅 玄
𣔶|木 艹 氵 㔾
𢅐|巾 人 一 口 口 人 人
扒|扌 八
𠛕|山 刀 刂
𨼏|阝 而 而
篗|𥫗 隹 又
顖|丿 囗 乂 心 頁
𦲎|艹 穴 夕
𥅛|目 丿 戈 一
𢻥|口 口 口 木 支
佤|亻 瓦
揧|束 刂 手
聦|耳 勹 Q匆X 心
𪓩|尸 𠃌 口 黽
𩾽|鳥 心
駫|馬 光
𧴰|貝 弋
𣉲|日 隹 又
睴|目 冖 車
䳹|鳥 宀 二 儿 攴
𤘕|牜 㔾
臻|至 Z春X 禾
𩠱|首 辶 丿 㠯
𦗁|十 Z具X 八 耳
𤍃|火 氵 𠂉 母
𥇪|目 非
𡾄|山 婁 攵
傆|亻 厂 白 小
閈|門 干
𢤋|忄 夫 目 目
樍|木 Z青X 貝
𨝂|厂 白 小 阝
碖|石 人 一 𠕁
