𦆁|𦝠 糸
𦨨|舟 夕 㔾
兹|䒑 幺 幺
烸|火 𠂉 母
𧧪|言 聿
驿|马 又 V扌
𦉗|缶 土 土 土 一 儿
褈|衤 重
䨊|隹 隹 隹 𣶒
皍|白 匕 卩
𡜌|十 冖 二 女
𣎏|囗 十 口 𠂇 月
𪄘|𠂇 口 冂 口 鳥
戚|丿 戈 卜 一 小
躝|𧾷 門 束 丷
𢼜|亦 攵
䮟|馬 宀 火 又
𦶄|艹 氵 日 土
𥉘|目 𠂆 虍 儿
稪|禾 复
𪚭|龜 勹 厶
䜬|谷 由
掯|扌 止 ⺼
𢲱|手 𠀎 冉
𨘉|辶 𥫗 疌
𥴲|𥫗 民 攵 心
𧦵|言 田
鈺|金 玉
弼|弓 一 白 弓
箿|𥫗 口 耳
𡠾|女 山 一 口 攵
䓁|艹 士 寸
𠇃|人 亻 𠤎
𪒊|黑 隹 又
𥃠|魚 日 䒑 八 皿
睌|目 免
鏏|金 丰 丰 彐
𣁎|文 言
峑|山 入 王
𡧓|宀 月
𡏢|土 馬
𣺎|氵 彐 冖 巾 又
轜|車 雨 而
䡞|Z具X 八 車
瓡|土 丷 干 瓜
𡕠|无 夊
𣇣|日 十 Z具X
𤄺|氵 辶 自 穴 方
𧩧|言 P庶X 又
𩧦|马 人 丿 丨
𥜓|礻 臣 人 丶 皿
恮|忄 入 王
賱|貝 冖 車
𣵩|氵 大 火
䧳|止 隹
𠫵|厶 大 㣺
硾|石 垂
䖀|艹 口 口 頁 口 口
𠚂|凵 丿 土
漇|氵 彳 止 人 卜
𣙀|木 土 丷 干 丸
𢠉|忄 亻 禺
𪐴|黑 丶 王
邎|辶 V⺼ 言 丿 糸
嶐|山 阝 夂 一 生
𨙯|寸 阝
蜗|虫 口 内
䀙|目 七 刀
𠴛|口 穴 力
𨸭|阝 匚 口
疠|疒 一 ZX方
㚢|亻 女
𥳇|𥫗 彳 复
鼧|鼠 宀 匕
堩|土 忄 亙
𦀝|糹 囗 儿 冂
𣯶|毛 厶 厶 厶 人 彡
𤆜|火 三
趰|走 爾
亲|立 木
𠮴|一 卜 口
𣩈|歹 V羊 工
瀹|氵 龠
𣴻|氵 尸 止
𩢙|大 丷 馬
𪗀|鼻 曰 勹 𠃊 人 欠
曂|日 黃
𢏄|弓 弓 丨
衉|丿 皿 夂 口
啋|口 爫 木
𡙍|大 手 目
𧄳|艹 日 十 丿 大 口 冂 口
𥕹|石 毛 毛 毛
绒|纟 戈 十
㯔|毛 毛 毛 木
𠓖|光 門 束 丷
𪁙|五 口 鳥
𧰥|丿 㠯 止 彐 冖 巾 癶 一 口 䒑
浛|氵 人 一 乛 口
𢹝|扌 雨 口 口 口
𨿑|日 干 隹
離|亠 凵 乂 禸 隹
古|十 口
𩽄|魚 斤 斤 貝
𨳍|門 七
蕫|艹 立 里
䙭|衤 𡨄 足
𠍯|亻 㡀 攵
𦵒|艹 火 禾
毴|毛 非
㓶|丰 刀 大 刂
鵻|鳥 隹
幽|山 幺 幺
𨬫|金 山 一 口 䒑 几
𡭿|⺌ 冂 口 之
极|木 及
耄|老 毛
𤠭|犭 身 寸
㚋|夕 夕 V用 口
㲑|毛 水
匎|勹 大 电
羑|𦍌 久
頔|由 頁
𦚅|夊 卜 ⺼
些|止 匕 二
𦺮|艹 广 臾
欞|木 雨 口 口 口 工 人 人
鞡|革 扌 立
𡆥|囗 卜
㨨|扌 V卯 田
暫|車 斤 日
𨜳|宀 口 丿 口 阝
𦉜|缶 𠂊 厂 八 言
茮|艹 卜 一 小
𨍊|車 禾 火
𠴲|口 水 日
𢦵|戈 矛
𧣟|角 𠂉 也
𨴈|門 不 一
券|V𢍏 刀
纻|纟 宀 一
𩭞|镸 彡 隶
鬾|鬼 支
𤸊|疒 厶 口 心
䇅|立 戈
𧦪|工 力 言
橈|木 土 土 土 一 儿
𩚟|飠 夬
𧪶|言 忄 孛
𡃏|口 阝 𠂇 月 土
㵒|氵 弗 貝
姕|止 匕 女
𣾸|氵 扌 日 V正
艘|舟 𦥑 丨 又
𠱜|口 𠂇 丨 子
𢣟|V𢍱 与 㣺
𤁤|氵 HX漢 欠
啢|口 兩
燥|火 口 口 口 木
𦳧|艹 方 人 子
𩤐|馬 㫄
驨|馬 山 隹 冂 八 口
𣟕|木 火 火 火 木
𦏓|尹 口 羊 本
𢑬|彐 彐 木 人 人
䃯|石 冫 白 𡿨 木
浲|氵 夂 丰
觵|角 黃
𡏹|阝 土 八 夊 土
𧺕|走 勹 丶
𧚾|衣 口 口
㱼|巳 𠘧 又
壿|士 丷 酉 寸
戃|忄 ⺌ 冂 口 黑
薂|艹 白 方 攵
𨶭|門 Z無X 灬
㔍|𥫗 目 廾 刂
和|禾 口
稓|禾 卄 一 日
鶒|束 力 鳥
𠐗|人 一 口 目 艮
𢞖|忄 𥫗 丿 大
䴝|鹵 冂 二 耳 又
沜|氵 片
𥿱|糹 乃 子
鈣|金 丐
𦅇|糹 喪
㾦|疒 立 口
𨪝|金 虍 文
䋆|糹 丶 尸
攭|扌 彑 𧰨 虫 虫
蒬|艹 冖 免 丶
𠺰|口 禾 𠂉 小
𣵲|氵 亻 半
𣞚|木 𠂹 𠂇 工
𤾟|白 言 𠂉 十
㐷|亻 马
垶|土 辛
紽|糹 宀 匕
鲼|鱼 十 廾 贝
𧡴|束 丷 目 儿
𠝁|未 彡
𧮷|谷 𠃨
䱇|魚 日 一
濆|氵 十 廾 貝
镍|钅 自 木
𦉬|罒 一 亅
𡽑|山 黽
𣻐|氵 虍 且
𧈢|虫 八
𧵏|夕 卜 貝
摗|扌 束 欠
蟖|虫 其 斤
𩚥|飠 巴
𠇚|人 甲
𨻻|阝 婁
㝡|宀 耳 又
因|囗 大
籧|𥫗 辶 虍 豕
𩿦|口 八 鳥
𠙫|曲 一 口 䒑 几
𡧪|宀 乇 土
佱|人 一 一 止
滰|氵 音 儿
鑷|金 耳 耳 耳
𣲸|氵 山 乃
𣇺|典 日
𩗔|爫 女 風
蜀|罒 勹 虫
𥶏|𥫗 言 V用 口
䐂|⺼ 彑 氺
悅|忄 八 口 儿
𤥗|王 丣
